word_added,s1,s2,s3,similarity_w,sum_cos
principales,"Los ocho pasos -y los cuatro años- para engendrar un auto, desde el primer dibujo hasta el lanzamiento oficial. Los encargados de elegir colores y texturas suelen evaluar diseños durante dos ...","El proceso de diseño de un coche explicado en ocho pasos. Jorge Arenas. 13/06/2016 - 16:25. Aunque a veces pueda parecer fácil, diseñar un nuevo modelo es …","Sólo se construyó un prototipo de cada modelo. Los planes requerían que el WX-3 tenga tres opciones diferentes de motor: un V-8 ""básico"" de 600 hp (450 kW), una opción ""sintonizada"" de 800 hp (600 kW) y un turbo doble de 1.200 hp (890 kW) opción, [11] Mientras que el Coupe tenía el motor turbo doble (ajustado a unos 800 hp), el roadster tenía el mismo motor Chevrolet que el W8. [6] Cuando el WX-3 …",0.9989248514175415,0.08274050765676248
aire,"Los 8 pasos esenciales para crear un auto. 13 de Junio de 2016. Aunque la tecnología sea determinante, aún se valora el trabajo artesanal en la fase de creación.","El especialista en fluidos indicó en The Conversation que lo más confiable es ""entreabrir una ventanilla delantera, y la ventanilla trasera del lado contrario"", ya que así se dará paso al ingreso y salida del aire. Pero no como piensas.","Los ingenieros de esta compañía han creado, partiendo de un Daewoo Matiz, un prototipo de motor híbrido eléctrico/aire comprimido (PHEV, Pneumatic Hybrid Electric Vehicle). El motor de aire comprimido se utiliza para activar un alternador, el cual extiende la capacidad de …",0.9984150528907776,0.0329133460543092
dirección,"La dirección es el conjunto de órganos que permiten a cualquier vehículo variar su trayectoria para seguir el rumbo deseado. Para esta finalidad en general los sistemas de dirección utilizan las ruedas del vehículo, bien modificando su orientación, disminuyendo el perímetro de su circunferencia, o mediante el giro diferencial. Una excepción es el caso del ferrocarril, en el que la dirección es controlada por …","En este artículo se ha presentado un sistema de dirección a las cuatro ruedas totalmente mecánico para un vehículo automóvil. Frente a los sistemas electrónico-hidraúlicos, que son más versátiles, este sistema aporta mayor robustez y fiabilidad. El empleo de …","Los ocho pasos -y los cuatro años- para engendrar un auto, desde el primer dibujo hasta el lanzamiento oficial.",0.9983834028244019,0.18638609998306738
diferentes,"Esta es simplemente la forma en que un diseñador debe ajustar todos los componentes que conforman un automóvil, dentro de las dimensiones especificadas. Los objetos más grandes e importantes que se empaquetan son los ocupantes y el motor. Estos dos componentes determinan completamente las dimensiones y proporciones generales de cada .","Fases. Antes de producir un vehículo, ha de completarse su desarrollo y validación. Los diferentes pasos necesarios para la fabricación de un vehículo están descritos más abajo, si bien, también es posible que algunos de ellos ocurran de forma paralela para optimizar el tiempo, lo que se conoce como ingeniería simultánea.Todos los pasos descritos a continuación no tienen por qué ...","Proceso ilustrativo de como dibujar un automovil en diferentes vistas: ""Vista en planta, en alzado y en perspectiva"". Usando plumones chartpak para la aplica...",0.9983425140380859,0.04047357621979675
motores,"Muchos fabricantes de autos introducen actualmente principios ecológicos en el ciclo de vida de la producción de un automóvil desde su concepción hasta su eliminación. Por ejemplo, el objetivo declarado de Nissan Motor Co., Ltda., es lograr un índice de recuperación del 100% por cada auto …","Los ocho pasos -y los cuatro años- para engendrar un auto, desde el primer dibujo hasta el lanzamiento oficial. Los encargados de elegir colores y texturas suelen evaluar diseños durante dos ...",POLÍTICAS -Cada uno de estos proyectos tienen cierto grado de peligrosidad ya que requieren la manipulación de herramientas que podrían a llegar a ser muy peligrosas en las manos equivocadas ...,0.9983350038528442,0.06308899359980448
potencia,"Un sistema de admisión de aire frío con la menor cantidad de restricciones posibles o curvas. 2- Un motor con un diseño apto para alcanzar lo que uno quiere, que también puede ser mejorado mecánicamente. 3- Un escape que sea capaz de deshacerse de los gases de manera rápida.","Hay muchas variaciones de este tipo de autos, pero la más común es colocar la trampa sobre el auto, colocar un brazo en el resorte y atar una cuerda al eje de las ruedas posteriores. Al hacer girar las ruedas en el sentido opuesto, se jala el brazo yaccionado por el resorte de la trampara para ratones; de esta forma ya tenemos energía esperando ser liberada.","Después de instalar una forma de inducción nitrosa o forzada, es importante que hagas que calibren tu vehículo para que soporte el aumento de potencia. Lleva el vehículo a un taller de afinación profesional en el que utilicen un dinamómetro para probar varias proporciones de aire y combustible a diferentes RPM, asegurando la máxima potencia de salida en cada punto de la banda de potencia del vehículo.",0.9982731342315674,0.05550308976405567
esenciales,"Los ocho pasos -y los cuatro años- para engendrar un auto, desde el primer dibujo hasta el lanzamiento oficial.",El automóvil y otras industrias esenciales reclaman en diez puntos un plan urgente para la reactivación El relanzamiento de las ventas de coches se considera fundamental para el despegue de la ...,"El sector automoción en su conjunto (fabricantes de vehículos, proveedores, concesionarios, talleres, renting, alquiladoras y actividades de reciclaje y desguace que componen toda la cadena de valor del sector, así como otras asociaciones de vehículos de motor) pide en bloque al Gobierno que apruebe un de choque nacional de medidas urgentes y específicas para el y otros vehículos, …",0.9982513189315796,0.0
gasolina,"Espera crear un automóvil mucho más potente, con 426 caballos de fuerza en vez de los 382, gracias a un motor V8 LS3 de 6,2 litros del Chevrolet Camaro. El Tesla Model S …","Yamaha se ha dado a la tarea de transformar su servicio, para lo cual ha desarrollado una nueva estrategia llamada ‘Transforming mobility’. Con ella, la empresa ha logrado diseñar, crear y poner en uso un motor eléctrico capaz de alcanzar una potencia de hasta 270 CV; sin embargo, los de Yamaha van más allá de adaptarse a las nuevas necesidades del mundo actual.","Volkswagen confirma los planes de producir un automóvil eléctrico en Norteamérica para 2020. PI-VR GmbH vred 6.07 ... esta versión eléctrica no es producida en Puebla como el resto de los Golf a y se produce en la sede de la firma en Wolfsburg, Alemania junto al más rabioso de la gama Golf, el R con 300hp. ... También sabemos ...",0.9981985092163086,0.09017865727469068
mantenimiento,"pasos para crear un plan de mantenimiento de vehículos eficaz Errores en los planes de mantenimiento. Antes de empezar a explicarte los pasos principales, queremos enseñarte algunos... Pasos para realizar un plan de mantenimiento eficaz. Todo plan debe tener unos objetivos. Marca un …","El día de hoy te explicamos un plan básico de mantenimiento preventivo automotriz que debes seguir para mantener tu automóvil en las mejores condiciones. El plan incluye el motor, neumáticos, batería, dirección, frenos, carrocería, lavado de auto y sistema de enfriamiento.","Establecer el contexto operacional y el histórico de fallas, para definir las acciones de mantenimiento a aplicar. 3. Aplicar una metodología de mantenimiento para desarrollar el plan maestro de mantenimiento. 4. Elaborar un manual de mantenimiento para garantizar la gestión del plan propuesto",0.9981977939605713,0.42477313973119135
chasis,"Encuentre un espacio limpio en el suelo, tomar la pluma de tiza y dibuja un cuadrado con los requisitos de ancho que figuran en los planes de altura y. 7 Dibujar una línea vertical que pasa por el centro de la anchura, que atraviesa el ancho de la plaza en dos partes iguales.","Tal como el compacto es fabricado de un mismo material siguiendo la forma del auto, otra forma de fabricarlo es haciendo un monocasco de materiales compeustos, como la fibra de carbono por ejemplo, a pesar de ser un material experimental por ser ultra ligero y resistente (en la dirección que se quiere que sea resistente, porque en otra es completamente fragil) es muy utilizado para fabricar chasis de ""una …","La introducción de nuevos materiales en la fabricación del chasis es una vía que permite reducir el peso de los vehículos, y en consecuencia las emisiones y el consumo.",0.9981755018234253,0.04689369427095276
