word_added,s1,s2,s3,similarity_w,sum_cos
race,Regresan los autos locos de la Red Bull SoapBox Race La competencia vuelve a Santiago tras cuatro años de ausencia y se realizará en 2020 en el cerro San Cristóbal.,"Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad.","La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",0.9959323406219482,2.5372106208320555
red,Regresan los autos locos de la Red Bull SoapBox Race La competencia vuelve a Santiago tras cuatro años de ausencia y se realizará en 2020 en el cerro San Cristóbal.,"La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...","Red Bull Soapbox: Los autos más locos, en Turín. Disfruta de las mejores imágenes desde Italia: pilotos intrépidos y un recorrido endiablado. Increíble carrera de autos locos en Sofía.",0.9926893711090088,2.322254255827751
bull,"Red Bull Soapbox: Los autos más locos, en Turín. Disfruta de las mejores imágenes desde Italia: pilotos intrépidos y un recorrido endiablado. Increíble carrera de autos locos en Sofía.","Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano. Felipe Valdés B. 12 mar 2020 12:59 PM. Se esperan cerca de 10 mil asistentes a este evento de vehículos sin motor, que aprovechan la gravedad para circular por intrincados circuitos.",Regresan los autos locos de la Red Bull SoapBox Race La competencia vuelve a Santiago tras cuatro años de ausencia y se realizará en 2020 en el cerro San Cristóbal.,0.9908466339111328,2.5665967440723074
derby,"15, 2016 - Explore Bob L.'s board ""soapbox derby"" on Pinterest. See more ideas about soap box cars, soap box derby cars, soap box racer.","soapbox derby race car child - soap box derby car stock pictures, royalty-free photos & images. portrait of little boy riding a go-kart. - soap box derby car stock pictures, royalty-free photos & images. Year old boy in a helmet drives a go-cart during a Soap Box Derby, as a crowd watches in the background, Harlem Speedway, New York City. The ...","AASBD The All-American Soap Box Derby is a youth racing program which has been run since 1934. Events Gravity racing capital of the world! 989 feet of gravity-powered fun and excitement. Education Bringing Soap Box Derby into the classroom. It’s Gravity Powered and STEM Driven! Store Purchase official Soap Box Derby car kits, adult car kits, wheels, parts, souvenirs and more.",0.9448447227478028,2.31943152911169
carrera,"Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano. Felipe Valdés B. 12 mar 2020 12:59 PM. Se esperan cerca de 10 mil asistentes a este evento de vehículos sin motor, que aprovechan la gravedad para circular por intrincados circuitos.","Red Bull SoapBox Race 2020: Vuelve al Cerro San Cristóbal la carrera de autos locos más entretenida de Chile Mucha atención, que ya comenzó la etapa de postulaciones para partcipar con el más creativo, loco y rápido de los de Santiago","La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",0.932750165462494,2.09180638047069
box,Regresan los autos locos de la Red Bull SoapBox Race La competencia vuelve a Santiago tras cuatro años de ausencia y se realizará en 2020 en el cerro San Cristóbal.,"Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad. Se trata de una carrera no motorizada que desafía a corredores y aficionados de la velocidad y la ...","La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",0.9126866459846495,2.50388268779969
soap,El SOAP es el seguro obligatorio de accidentes personales para tu vehículo. Es exigido por ley a todos los vehículos inscritos en el Registros Civil que circulan dentro del país. Entrega cobertura ante lesiones o fallecimiento causados por un accidente o choque.,"Este 27 de noviembre vuelve a Chile la carrera más loca y creativa de todas, y es que Soap Box Race espera llenar de vida y de colores las calles de Santiago.",Shea butter infused hair & personal care that gives back. Save 10% on your first order! Make soap=hope with donations made on each order.,0.8950701951980591,2.961130429256447
world,"With Soapbox Race World, servers can provide custom game modifications to their players, ranging from simple lighting mods to totally new cars! Ready to hit the streets? Download the launcher now!","En 2020 vuelve uno de los eventos más entretenidos y desafiantes del mundo a Santiago. Tras cuatro años de ausencia, SoapBox Race, que en 2016 se realizó en la comuna de La Reina, regresará durante el primer semestre de 2020 y ya están abiertas las postulaciones para los valientes (y suficientemente locos) que quieran participar. Red Bull Soapbox Race es un evento abierto al público ...",Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano,0.8925678730010986,2.7157655205245015
car,"Best Of Soapbox Car Crashes Ultimate Compilation (2018)Thanks for watching!Like and Subscribe for more!-~-~~-~~~-~~-~-Please watch: ""Best Fails Wins of 2018 ...","The soapbox's design is based on the Hyundai 45, a compact EV concept that debuted at the 2019 Frankfurt Motor Show. The design doesn't involve …","austria, salzburger land, young man fixing soapbox car, boy (12-13) watching - soap box derby car stock pictures, royalty-free photos & images. grandfather pushing grandson in soapbox car - soap box derby car stock pictures, royalty-free photos & images.",0.8851215243339539,2.911691960232062
racing,"soapbox derby race car child - soap box derby car stock pictures, royalty-free photos & images. portrait of furious little boy riding a fast go-kart. - soap box derby car stock pictures, royalty-free photos & images ... children racing in push go-cart on sunny day - soap box derby car stock pictures, royalty-free photos & …","En 2020 vuelve uno de los eventos más entretenidos y desafiantes del mundo a Santiago. Tras cuatro años de ausencia, SoapBox Race, que en 2016 se realizó en la comuna de La Reina, regresará durante el primer semestre de 2020 y ya están abiertas las postulaciones para los valientes (y suficientemente locos) que quieran participar. Red Bull Soapbox Race es un evento abierto al público ...","Soapbox Race World. Download. Return to the streets of Need for Speed: World! Download the launcher. Multiple Servers. Our server list consists of various community-hosted servers, along with official servers operated by project staff. Custom Economy.",0.8810632228851318,2.921152351539245
grid,"5, 2017 - Explore Malsr Malsr's board ""soap box car diy"" on Pinterest. See more ideas about soap box cars, box car, soap boxes.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.","En el Soapbox de Alemania, la estrella de F1 muestra la potencia de su super auto ¡99 carreras de autos locos en 99 segundos! No te pierdas este clip que reúne lo mejor de las 99 carreras de ...",0.8684276342391968,2.932336763123597
locos,Regresan los autos locos de la Red Bull SoapBox Race La competencia vuelve a Santiago tras cuatro años de ausencia y se realizará en 2020 en el cerro San Cristóbal.,"Se espera que unas 10 mil personas lleguen este sábado al Parque Metropolitano de Santiago para celebrar la tercera edición del Red Bull Soapbox Race. Esta carrera, que se realiza en varios países del mundo, tendrá a 35 autos locos bajando por una pista donde los pilotos podrán alcanzar velocidades cercanas a los 40 km/h.","Red Bull Soapbox Race, la competencia de autos sin motor tendrá lugar por primera vez en nuestro país y se enfrentarán a un circuito especialmente diseñado s...",0.8538827896118164,2.5827908442508374
build,"The soapbox's design is based on the Hyundai 45, a compact EV concept that debuted at the 2019 Frankfurt Motor Show. The design doesn't involve any special surfacing techniques. That means that ...","Kevin's soapbox car isn't as fast as Andrew's, but it looks nice.What projects should we make next? Let us know in the comments!All Brojects, all the time: h...",I show you how to build a soapbox derby car. I won 1st place in my local soapbox derby race with this car design. Check out my footage of the soapbox crashe...,0.8332946300506592,2.6612045397330006
cars,"Best Of Soapbox Car Crashes Ultimate Compilation (2018)Thanks for watching!Like and Subscribe for more!-~-~~-~~~-~~-~-Please watch: ""Best Fails Wins of 2018 ...","Red Bull Soapbox Race. Red Bull Soapbox Race 2020: Santiago de Chile. 14 Marzo 2020. Santiago, Chile ... ¡Nos tomamos el ParqueMet y vimos como los distintos carros lo dieron todo con su ...","Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad. Se trata de una carrera no motorizada que desafía a corredores y aficionados de la velocidad y la ...",0.8275215625762941,2.833060443666786
cdmx,"Red Bull Soapbox Race CDMX 2016. 11 Septiembre 2016. Guardar. Red Bull Soapbox Race es una carrera donde las estrellas son los coches sin motor, pero llenos de creatividad. A …","autos usados cdmx,... EL COCHE RECUPERAS LA INVERSIÓN EN UN AÑO, Y SI LO DAS A TRABAJAR LO RECUPERAS EN DOS AÑOS. MAYORES INFORMES AL TELÉFONO 5520776308....urge por cambio de ciudad. VENTA DE TAXI DEL …","Encuentra Autos nuevos y usados en venta en CDMX. En nuestro nuevo sitio web puedes hacer búsquedas, comparaciones, explorar fotos y encontrar lo que buscas rápidamente.",0.8205894231796265,2.8730882135005817
coches,"Terminado, el Soapbox mide 1 metro de ancho y 1,76 m de largo, asegurando que quepa en un coche medio y que las familias puedan transportarlo a lugares con colinas y pendientes. Para la dirección general en el diseño de los paneles rectos y la silueta en forma de cuña de una caja de jabón, el equipo buscó inspiración en el prototipo ...","Cada año y década, las marcas de autos crean prototipos que brindan una idea de cómo será el futuro automotriz. Ahora, uno de los más impactantes es el innovador coche Hyundai Soapbox, el ...","- Explora el tablero ""Soapbox cars"" de Ilse Fernanda Rios Medina, que 142 personas siguen en Pinterest. Ver más ideas sobre carritos de pedales, carritos de madera, bicicleta de madera.",0.8161712288856506,2.9355546226810074
driver,"vector illustration of a soap box derby car with driver - soap box derby car stock illustrations. friends at amusement park - soap box derby car stock pictures, royalty-free photos & images ... austria, salzburger land, young man fixing soapbox car, boy (12-13) watching - soap box derby car stock pictures, royalty-free photos & images.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.","Soapbox Racing free download - NASCAR Racing 2 demo, Andretti Racing demo, Ford Racing 3, and many more programs",0.8151886463165283,2.9586568657498544
pinewood,"Whether you need parts for a school project or racing competition, eMachineShop has the equipment and expertise to manufacture your custom design to spec. Create custom soapbox derby parts for performance, enhancing appearance, replacing broken or defective components, or to personalize and make your racer unique.","Welcome to Pinewood Autos. In these uncertain times, we endeavour to always be 100% available to help our customers and as a result of the current COVID 19 situation we are currently offering FREE DELIVERY on selected vehicles at point of sale.. Your next stop for all your car buying needs, Pinewood Autos is the perfect specialist independent used dealer in Godstone, Surrey.",- Bradley Leach descrubrió este Pin. Descubre (y guarda) tus propios Pines en Pinterest.,0.8133375644683838,2.815844738013454
event,"Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.",Eventos. Atletas. Productos. Soap Box Race. Soap Box: Las mejores ideas para crear tu auto ... Esta es una carrera en grupo. Y si a eso le sumamos que los autos …,0.8121867179870605,2.8256584121472663
carros,"Hyundai Soapbox, el carro fácil y barato de armar Su construcción es guiada mediante un tutorial en YouTube. Luis Hernández | 15/9/2020. Hyundai. Hyundai ha diseñado este peculiar auto denominado como Soapbox (caja de jabón) para que pueda ser construido en casa por …","En 2020 vuelve uno de los eventos más entretenidos y desafiantes del mundo a Santiago. Tras cuatro años de ausencia, SoapBox Race, que en 2016 se realizó en la comuna de La Reina, regresará durante el primer semestre de 2020 y ya están abiertas las postulaciones para los valientes (y suficientemente locos) que quieran participar. Red Bull Soapbox Race es un evento abierto al público ...","Red Bull Soapbox Race. Red Bull Soapbox Race 2020: Santiago de Chile. 14 Marzo 2020. Santiago, Chile ... ¡Nos tomamos el ParqueMet y vimos como los distintos carros lo dieron todo con su ...",0.8004463911056519,2.5588618992166667
stock,"grandfather and boy work on soapbox car - soap box derby car stock pictures, royalty-free photos & images. austria, salzburger land, young man fixing soapbox car, boy (12-13) watching - soap box derby car stock pictures, royalty-free photos & images.",Encuentra fotos de stock perfectas e imágenes editoriales de noticias sobre Soapbox Car en Getty Images. Haz tu selección entre imágenes premium sobre Soapbox Car de la más alta calidad.,This video is presented in partnership with The University of Akron College of Engineering. Learn how to build a Soap Box Derby® Stock car. Jared Zimmerman...,0.7982779741287231,2.5737011305004245
domingo,"Se espera que unas 10 mil personas lleguen este sábado al Parque Metropolitano de Santiago para celebrar la tercera edición del Red Bull Soapbox Race. Esta carrera, que se realiza en varios países del mundo, tendrá a 35 locos bajando por una pista donde los pilotos podrán alcanzar velocidades cercanas a los 40 km/h.","Los carros para la competencia ya están listos a pocos días de la carrera de carros Red Bull Soapbox Race.La Comuna de La Reina, específicamente en Avenida Larraín esquina Las Perdices, será la locación de esta espectacular competencia, que cuenta con 70 equipos y donde se esperan más de 50.000 espectadores. La entrada será liberada y se pretende dar inicio a las 11:00 horas del ...","Está todo listo y dispuesto para una nueva edición del Red Bull Soapbox Race Chile, entretenida carrera de autos locos que estaba ausente de nuestro país hace 5 años, cuando se realizó por primera vez.48 “ locos” se lanzarán en una pista de 400 metros en la empinada calle Talinay (esquina Álvaro Casanova) de La Reina, este 27 de noviembre, desde las 11:00 horas.",0.791045069694519,2.647398545125635
best,"Best Of Soapbox Car Crashes Ultimate Compilation (2018)Thanks for watching!Like and Subscribe for more!-~-~~-~~~-~~-~-Please watch: ""Best Fails Wins of 2018 ...","5, 2017 - Explore Malsr Malsr's board ""soap box car diy"" on Pinterest. See more ideas about soap box cars, box car, soap boxes.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.",0.7904972434043884,2.92562069508156
santiago,"Red Bull SoapBox Race 2020: Vuelve a Santiago la carrera de autos locos más entretenida de Chile NOTAS DESTACADAS A pesar de la pandemia, el 2020 fue el mejor año en la historia de Bentley","En 2020 vuelve uno de los eventos más entretenidos y desafiantes del mundo a Santiago. Tras cuatro años de ausencia, SoapBox Race, que en 2016 se realizó en la comuna de La Reina, regresará durante el primer semestre de 2020 y ya están abiertas las postulaciones para los valientes (y suficientemente locos) que quieran participar. Red Bull Soapbox Race es un evento abierto al público ...","Red Bull Soapbox Race, la tercera edición será en el Parque Metropolitano de Santiago La nueva edición de la carrera de autos locos, como se le ha denominado, se realizará este sábado 14 de marzo por las laderas del Cerro San Cristóbal.",0.7899457812309265,2.4463173184625715
little,"Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad. Se trata de una carrera no motorizada que desafía a corredores y aficionados de la velocidad y la ...","soapbox derby race car child - soap box derby car stock pictures, royalty-free photos & images. ... portrait of happy little boy riding a fast go-kart. - soap box derby car stock pictures, royalty-free photos & images. two boys in pedal cars crossing finishing line on race track - soap box derby car stock pictures, royalty-free photos & images.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.",0.7897098064422607,2.86532821962212
blue,Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano,"5, 2016 - soapbox car blueprints Plans - Search Google. Jun 5, 2016 - soapbox car blueprints Plans - Search Google. . Saved from google.se. soapbox car blueprints plans. Saved by Paul fisher. 138. Soap Box Derby Cars Soap Box Cars Soap Boxes Drift Trike Jeep Xj Power Wheels Kids ...","Red Bull Soapbox Race es un evento abierto al público, donde cada equipo puede inscribirse y participar diseñando y construyendo sus propios autos. Cada máquina que participa hecha a mano es alimentada a puro coraje y fuerza de gravedad. Se trata de una carrera no motorizada que desafía a corredores y aficionados de la velocidad y la ...",0.789454460144043,2.7419897098829775
primera,"Hyundai Motor acaba de publicar la primera imagen adelanto de Soapbox Ride, un vehículo sin motor impulsado por gravedad para competencias en carretera cuesta abajo.. Los vehículos del tipo Soapbox o Gravity Racer, son muy populares en Estados Unidos y Europa donde se realizan varias competencias al año.. Al principio estos vehículos sin motor fueron construidos con cajas de jabón de ...",La diversión de los autos locos en Buenos Aires.,"Esta es una carrera en grupo. Y si a eso le sumamos que los autos no pueden utilizar un motor, el resto del equipo pasa a ser vital a la hora de impulsar los primeros movimientos del carro.",0.7849026322364807,2.8829966179656834
noviembre,"Este domingo en la comuna de La Reina (Santiago, Chile) se realizará la original competencia Red Bull Soapbox Race, que por segunda vez se realiza en el país con 48 “autos locos” se lanzarán en una pista de 400 metros con obstáculos en la empinada calle Talinay de La Reina, este domingo 27 de noviembre, desde las 11:00 horas. Este panorama familiar es gratuito.",Hyundai Soapbox es un auto de juguete fácil y barato de armar Luis Hernández. 9/18/2020. Muere un hombre baleado por un agente de la Patrulla Fronteriza en la frontera de Texas.,"Los carros para la competencia ya están listos a pocos días de la carrera de carros Red Bull Soapbox Race.La Comuna de La Reina, específicamente en Avenida Larraín esquina Las Perdices, será la locación de esta espectacular competencia, que cuenta con 70 equipos y donde se esperan más de 50.000 espectadores. La entrada será liberada y se pretende dar inicio a las 11:00 horas del ...",0.7843703031539917,2.774421867792983
american,"All-American Soap Box Derby kit cars on display at the Derby Downs in Akron, Ohio.","¡Vuelve a Santiago la ya conocida Red Bull Soapbox Race! A partir de hoy y hasta finales de septiembre se estarán recibiendo las postulaciones de los equipos más locos y valientes de Chile, donde tendrán que ingeniárselas para dar con un auto que combine creatividad, locura y velocidad.","5, 2017 - Explore Malsr Malsr's board ""soap box car diy"" on Pinterest. See more ideas about soap box cars, box car, soap boxes.",0.7837307453155518,2.7753991713456885
carreras,"Red Bull SoapBox Race 2020: Vuelve al Cerro San Cristóbal la carrera de autos locos más entretenida de Chile Mucha atención, que ya comenzó la etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos de Santiago","La carrera de autos locos Red Bull SoapBox Race inicia su etapa de postulaciones para partcipar con el más creativo, loco y rápido de los autos. En 2020 vuelve uno de los eventos más ...",Red Bull Soapbox Race: la carrera de ‘autos locos’ que estará este sábado en el Parque Metropolitano,0.7798060178756714,1.711376420579119
méxico,"Las carreras de Soapbox. Desde 1933, el Soapbox Derby existe y fue creado en los Estados Unidos, en la ciudad de Akron, en Ohio. Todos los meses de julio se celebra un campeonato donde el protagonista es un auto sin motor y marcas como Red Bull han puesto el ojo en la competencia, profesionalizándola y llevándola a todos los lugares del mundo.","amigos, este 11 de septiembre se realizara el 1er red bull soapbox en la ciudad de mexico, se realizara en GALERIAS ATIZAPAN, la cita es a las 11 de la mañana, la entrada es gratis, estare ...","Hoy llegamos a México para mostrar el futuro de los autos, listos para hacer de este país, nuestra casa. SABER MÁS La SUV con lo último en tecnología y diseño, para que vuelvas a …",0.77864670753479,2.8871279343005845
