word_added,s1,s2,s3,similarity_w,sum_cos
aprender,"Estrategias de auto aprendizaje Mapa de jerarquía o sub temas: representa contenidos de un texto en su correspondiente orden. Mapa conceptual o ""de llaves"": usado para plasmar el contenido de un tema desglosado en sus diferentes sub temas y estos... Cuadros …","Esto es muy importante si quieres aprender a manejar correctamente un automóvil. 10. Frenar el auto con tiempo. Mantener una distancia de seguridad es muy importante para aprender a manejar el , y saber frenar a tiempo nos puede ayudar a evitar muchos accidentes.",Tomar conciencia de las necesidades y procesos del propio aprendizaje y saber identificar las oportunidades disponibles. Habilidad para superar los obstáculos con el fin de aprender con éxito. Incluye obtener y y habilidades de aprendizaje.,0.9990843534469604,2.8753882788160783
puedes,SUV: ¿para qué tipo de familias es ideal este vehículo? Encuentra las mejores marcas de autos en nuestros nuevos locales 3 señales de que el hatchback es tu auto ideal ¿Cuál es el mejor auto para 7 pasajeros? Cómo te ayudar un sensor inteligente al conducir Citycar: un ideal para la vuelta al trabajo 7 signos de que necesitas un familiar Cómo encontrar un por GPS ...,"Como con cualquier compra importante, es necesario presentar una identificación oficial, como la Credencial de Elector o el pasaporte, acompañada de un comprobante de domicilio. Además necesitas haber tramitado tu licencia de conducir previamente, pues es un requisito legal para que puedas conducir tu coche.","características que debería tener todo buen coche Sin duda, el mercado del automóvil es muy amplio hoy en día. Innovaciones, colores, diseño, niveles muy altos de equipamiento y prestaciones, etc. Pero, ¿te has parado a pensar qué es lo realmente esencial que necesitas de un coche?",0.999019742012024,2.871119143365406
manera,"De manera que los autos que cuenten con el equipamiento necesario para ofrecer una mayor cantidad de información al conductor, así como más placenteros sus trayectos, serán más valorados. Ejemplo de ello es la compatibilidad de los sistemas de infotenimiento de los vehículos y los diferentes dispositivos móviles a través de Android Auto ...","5 características que debes verificar antes de comprar un auto Aquí hay 5 cosas que podrías ignorar al momento de comprar un auto que podrían darte un dolor de cabeza. Por: Univision.com ,","Las maneras para adquirir un auto son a través del pago de contado o a crédito por medio de un financiamiento que otorga un banco, una agencia de autos o una sociedad anónima especializada (sofol). Antes de optar por alguna de estas instituciones, es importante revisar los requisitos y comparar las características que cada una ofrece.",0.9989862442016602,2.85907116402939
tiempo,"Un sistema físico real se caracteriza por, al menos, tres propiedades importantes: Tener una posición en el espacio-tiempo.; Tener un estado físico definido sujeto a evolución temporal.; Poderle asociar una magnitud física llamada energía.; El movimiento se refiere al cambio a lo largo del tiempo de una propiedad en el espacio, como puede ser la ubicación, la orientación, la forma ...","El auto debe tener máximo 12 años de antigüedad. Debe tener cuatro puertas. Tiene que tener doble Airbags y aire acondicionado. El auto debe tener una patente blanca. Permiso de circulación vigente. Todos estos documentos pueden ser enviados a través de la app de Uber, por lo que no es necesario ir a un centro de activación. En el caso que no seas dueño de auto, Uber te da la facilidad …","5 características de seguridad que debes buscar en un auto Esos elementos que ves todo el tiempo, son claves para salvarte la vida Click to share on Twitter (Opens in new window)",0.9989752769470216,2.812874991667111
materiales,"Este material se lo utiliza mayormente en la manufactura de los coches pues según el American Chemistry Council de Estados Unidos, son durables, baratos de fabricar y se moldean en casi cualquier forma. Aluminio. Si bien es un material «nuevo» en la fabricación de autos, su uso se implementó por ser liviano y resistente. Se implementa para crear paneles de carrocería y así tener un coche más …","Los coches contienen varios metales, entre los que se incluyen el acero para el bastidor, el cobre para el cableado eléctrico, el aluminio para el radiador y el platino, el paladio y el rodio para el conversor catalítico.","Los 8 pasos esenciales para crear un auto 13 de Junio de 2016 Aunque la tecnología sea determinante, aún se valora el trabajo artesanal en la fase de creación.",0.9989490509033204,2.923998536546571
cosas,"Lo ideal es que cuente con un soporte fijador. Lubricante: en los coches nuevos, y en los no tan nuevos, es frecuente que el motor consuma más aceite que …","Cosas de tu auto que deberías saber Incluso antes de comprar una unidad, un dueño responsable sabe lo que su auto tiene, como funciona y qué necesita.","Según las valoraciones de este informe, estas son las 10 prestaciones que debería tener el coche perfecto para los conductores españoles: 1. Seguridad en caso de accidente. Muy importante para el...",0.9989345073699952,3.0
buen,características que debería tener todo buen coche Fiabilidad del motor. Es importante que el vehículo cuente con un motor no solo potente y eficaz; sino también fiable. Seguridad en el vehículo. Todo buen coche debe de contar con elementos básicos para la seguridad: cinturones en todas... Tamaño ...,"Las 10 características que debe tener tu coche para ser perfecto Bajo coste de mantenimiento. . Espacioso / Amplio. . Conducción tranquila / silenciosa. . Otras variables, como un motor potente (32%), la reputación de la marca (29%) o la...","Además, también es necesario tener una buena dosis de comprensión, para no terminar siendo demasiado crítico y perturbar tu motivación. Sin embargo, cuando entiendes que ese es un camino interesante que amplía las posibilidades de crecimiento tanto en la vida profesional como en la personal, resulta más fácil realizar la autoevaluación.",0.9988813400268556,2.776130841342696
elementos,"Gato hidráulico: Es una de las herramientas básicas para llevar en el vehículo, ya que si se te picha la cubierta y no podés llamar a una grúa, vas a necesitarlo para hacer el cambio. La pinchadura de un neumático es una de las situaciones más comunes que se pueden presentar durante la conducción, pero que, con los elementos necesarios se puede resolver rápidamente.","EQUIPO MÍNIMO QUE DEBE TENER TU AUTO. 1. Aire Acondicionado: Contar con clima artificial es un elemento fundamental para muchas personas, sobre todo, para aquellas que buscan viajar cómodas y frescas. Casi todos los cuentan con esta prestación, pero puedes llegar a encontrar algunos modelos de precio más bajo que no lo incluyen. 2.","A continuación, una lista de los elementos que debes llevar sí o sí en tu automóvil: Licencia de conducir: documento legal que acredita que usted está capacitado para conducir un vehículo motorizado específico. Placa Patente Única: es un distintivo metálico que representa en relieve letras y números. Este objeto nace y muere con el vehículo.",0.998874843120575,2.9215975487486863
puede,"Las 10 características que debe tener tu coche para ser perfecto Bajo coste de mantenimiento. . Espacioso / Amplio. . Conducción tranquila / silenciosa. . Otras variables, como un motor potente (32%), la reputación de la marca (29%) o la...","Capacidad y accesibilidad son las dos características principales que debe tener un buen maletero de un coche. El segmento del coche también influirá en su capacidad y por supuesto, una de las claves también dependerá de nosotros y de la destreza para distribuir el equipaje de la forma más adecuada.","Según una investigación de la compañía GfK, hay una lista de características muy importantes que deben tener en cuenta todo propietario de un vehículo. Estas características van desde factores higiénicos de seguridad, fiabilidad, economía de consumo y costos operativos que aquí se detallan. Tras una estadística realizada en 17 países, más de un tercio (36 …",0.9988688230514526,2.7786603837545565
pequeño,"Sigue siendo un auto pequeño, aunque ha crecido 6 cm a lo largo, 6 cm a lo ancho y aumentado su distancia entre ejes en 2 cm. Interior con muchísimo estilo El FIAT 500 pasó de ser el coche del pueblo al ser una solución pequeña, fácil de mantener y muy eficiente para encontrar vida en nuestros días más como un accesorio de moda urbana .","Sin embargo, apenas les importan variables como el prestigio, la tecnología para el pasajero o un estilo único. Estos son algunos de los principales hallazgos del Estudio Global GfK: Importancia de las prestaciones de los vehículos, realizado mediante entrevistas online …","Revisemos cuáles son las características que hacen a la New Musso en sus versiones Musso y Musso Grand, la camioneta ideal para los pequeños negocios. Gran espacio interior: el interior de la New Musso es elegante y refinado, algo que puede sorprender en un vehículo utilitario.",0.9988685846328736,2.9484144451366068
